Created At,Action,Klass Type,from,to
3/11/16 17:19,read,about_me,78079,78079
3/31/16 21:32,read,Pathways,78079,78079
3/31/16 21:35,read,Pathways,78079,78079
1/21/16 19:26,read,about_me,78079,78079
1/30/16 23:40,read,about_me,179101,78079
1/30/16 23:40,read,portfolio,179101,78079
1/23/16 16:54,read,about_me,179105,78079
2/3/16 23:24,read,about_me,179119,78079
1/25/16 22:06,read,about_me,179160,78079
2/20/16 16:41,read,about_me,179182,78079
1/16/16 18:40,read,about_me,179098,78344
1/23/16 16:53,read,about_me,179105,78344
1/25/16 22:06,read,about_me,179160,78344
1/16/16 17:43,read,about_me,179228,78344
2/12/16 17:00,read,about_me,98159,98159
3/23/16 16:26,read,about_me,98159,98159
3/23/16 16:26,read,badges,98159,98159
2/12/16 16:59,read,about_me,98159,98159
2/29/16 23:31,read,about_me,176290,98159
1/16/16 17:44,read,about_me,179097,98159
1/23/16 1:31,read,about_me,179101,98159
1/23/16 17:05,read,about_me,179203,98159
1/30/16 16:11,read,about_me,179224,98159
1/21/16 19:15,read,Photo,78079,98160
1/21/16 19:18,read,about_me,78079,98160
1/21/16 4:16,read,Photo,176974,98160
1/23/16 16:06,read,Photo,176974,98160
1/23/16 16:30,read,Photo,176974,98160
1/20/16 20:41,read,Photo,176975,98160
1/23/16 17:00,read,Photo,176975,98160
1/23/16 3:23,read,Photo,177041,98160
1/23/16 4:06,read,Photo,177041,98160
1/23/16 17:24,read,Photo,179097,98160
1/23/16 17:01,read,Photo,179099,98160
1/22/16 0:21,read,Photo,179101,98160
1/21/16 0:38,read,Photo,179103,98160
1/22/16 14:45,read,Photo,179105,98160
1/22/16 15:21,read,Photo,179105,98160
1/23/16 16:31,read,Photo,179105,98160
1/23/16 17:03,read,Photo,179105,98160
1/23/16 17:19,read,Photo,179105,98160
1/23/16 16:20,read,Photo,179114,98160
1/23/16 16:30,read,Photo,179114,98160
1/23/16 16:32,read,Photo,179114,98160
1/23/16 16:36,read,Photo,179114,98160
1/23/16 16:34,read,Photo,179125,98160
1/23/16 16:59,read,Photo,179131,98160
1/23/16 17:30,reaction_on,Photo,179135,98160
1/23/16 17:23,read,Photo,179135,98160
1/23/16 17:00,read,Photo,179136,98160
1/23/16 17:02,read,Photo,179136,98160
1/23/16 17:01,read,Photo,179139,98160
1/23/16 17:06,comment,VisualWork,179143,98160
1/23/16 17:03,reaction_on,Photo,179143,98160
1/23/16 17:03,reaction_on,Photo,179143,98160
1/23/16 17:03,reaction_on,Photo,179143,98160
1/23/16 17:00,read,Photo,179143,98160
1/23/16 17:02,read,Photo,179143,98160
1/23/16 18:11,read,Photo,179143,98160
1/23/16 3:26,comment,VisualWork,179148,98160
1/23/16 3:25,read,Photo,179148,98160
1/23/16 17:04,read,Photo,179148,98160
1/23/16 17:07,read,Photo,179152,98160
1/23/16 16:58,reaction_on,Photo,179161,98160
1/23/16 16:56,read,Photo,179161,98160
1/23/16 16:58,read,Photo,179161,98160
1/23/16 3:43,read,Photo,179169,98160
1/23/16 3:48,read,Photo,179169,98160
1/23/16 16:07,read,Photo,179175,98160
1/23/16 17:06,comment,VisualWork,179188,98160
1/23/16 17:03,reaction_on,Photo,179188,98160
1/23/16 17:03,reaction_on,Photo,179188,98160
1/23/16 17:02,read,Photo,179188,98160
1/23/16 17:05,read,Photo,179188,98160
1/23/16 17:13,read,Photo,179188,98160
1/23/16 17:49,read,Photo,179188,98160
1/31/16 18:20,read,Photo,179188,98160
1/23/16 17:49,read,Photo,179198,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:29,reaction_on,Photo,179203,98160
1/23/16 17:28,reaction_on,Photo,179203,98160
1/23/16 17:26,read,Photo,179203,98160
1/23/16 17:27,read,Photo,179203,98160
1/23/16 16:18,reaction_on,Photo,179207,98160
1/23/16 16:18,read,Photo,179207,98160
1/23/16 16:42,read,Photo,179207,98160
1/23/16 16:54,read,Photo,179217,98160
1/23/16 14:46,read,Photo,179220,98160
1/23/16 19:50,read,Photo,179224,98160
1/23/16 16:59,read,Photo,179230,98160
1/23/16 22:10,read,Photo,179231,98160
1/23/16 17:25,comment,VisualWork,179235,98160
1/23/16 17:24,reaction_on,Photo,179235,98160
1/23/16 16:52,read,Photo,179235,98160
1/23/16 17:19,read,Photo,179235,98160
1/23/16 17:21,read,Photo,179235,98160
1/23/16 17:26,read,Photo,179235,98160
1/23/16 17:00,read,Photo,179236,98160
1/23/16 17:32,read,Photo,179237,98160
1/23/16 16:00,read,Photo,179243,98160
1/23/16 16:49,read,Photo,179246,98160
1/23/16 17:04,read,Photo,179247,98160
1/23/16 17:06,read,Photo,179247,98160
1/23/16 17:27,read,Photo,179247,98160
1/23/16 17:27,read,Photo,179272,98160
1/23/16 16:35,read,Photo,179276,98160
1/23/16 17:17,comment,VisualWork,179376,98160
1/23/16 17:16,reaction_on,Photo,179376,98160
1/23/16 17:17,reaction_on,Photo,179376,98160
1/23/16 17:15,read,Photo,179376,98160
1/23/16 17:18,read,Photo,179376,98160
1/23/16 17:48,read,Photo,179376,98160
2/25/16 22:37,read,about_me,159633,159633
3/22/16 19:22,read,about_me,159633,159633
3/31/16 19:13,read,Challenge,159633,159633
3/31/16 21:16,read,Challenge,159633,159633
1/27/16 20:43,read,about_me,159633,159633
5/5/16 19:12,read,about_me,159634,159633
2/3/16 23:23,read,about_me,179119,159633
3/24/16 21:09,read,Design,179264,159633
1/11/16 15:48,read,about_me,159634,159634
1/12/16 2:43,read,about_me,159634,159634
1/13/16 16:18,read,about_me,159634,159634
2/3/16 23:25,read,about_me,179119,159634
5/5/16 19:13,read,about_me,159634,159635
1/16/16 17:50,read,about_me,159635,159635
1/16/16 18:02,read,about_me,159635,159635
1/16/16 18:03,read,about_me,159635,159635
5/21/16 14:28,read,Badges,159635,159635
1/15/16 18:46,read,Pathways,159635,159635
1/15/16 19:33,read,Pathways,159635,159635
1/22/16 19:55,read,Pathways,159635,159635
3/3/16 18:50,read,Pathways,159635,159635
3/3/16 18:52,read,Pathways,159635,159635
3/5/16 15:38,read,Pathways,159635,159635
3/19/16 15:44,read,Pathways,159635,159635
4/15/16 20:20,read,Pathways,159635,159635
