ID,role,label,grade,group
179101,learner,,6th,A
179105,learner,,6th,A
179109,learner,,6th,A
179111,learner,,6th,A
179112,learner,,6th,A
179113,learner,,6th,A
179116,learner,,6th,A
179119,learner,,5th,A
179125,learner,,6th,A
179126,learner,,6th,A
179136,learner,,6th,A
179137,learner,,6th,A
179138,learner,,6th,A
179147,learner,,6th,A
179148,learner,,6th,A
179192,learner,,6th,A
179194,learner,,6th,A
179196,learner,,6th,A
179206,learner,,6th,A
179271,learner,,6th,A
78079,mentor,Roshonna,,character
78344,mentor,Milwaukee,,character
98159,mentor,Mrs. Samuels,,character
98160,mentor,Ms.  G,,character
167356,mentor,Jayla ,,character
168382,mentor,Sylvia  ,,character
176228,learner,,5th,school X
176230,learner,,5th,school X
176285,learner,,5th,school X
176286,learner,,5th,school X
176288,learner,,5th,school X
176289,learner,,5th,school X
176290,learner,,5th,school X
178019,learner,,5th,school X
178020,learner,,5th,school X
178022,learner,,5th,school X
178023,learner,,5th,school X
178024,learner,,5th,school X
179263,learner,,5th,school X
179264,learner,,5th,school X
179097,learner,,5th,B
179099,learner,,6th,B
179107,learner,,5th,B
179110,learner,,6th,B
179135,learner,,6th,B
179143,learner,,6th,B
179144,learner,,6th,B
179152,learner,,5th,B
179163,learner,,5th,B
179171,learner,,6th,B
179172,learner,,6th,B
179183,learner,,5th,B
179185,learner,,5th,B
179188,learner,,5th,B
179191,learner,,6th,B
179193,learner,,6th,B
179198,learner,,6th,B
179199,learner,,6th,B
179200,learner,,6th,B
179201,learner,,6th,B
179202,learner,,6th,B
179203,learner,,6th,B
179235,learner,,6th,B
179237,learner,,5th,B
179246,learner,,6th,B
179247,learner,,5th,B
179376,learner,,5th,B
182367,learner,,6th,B
189316,learner,,6th,B
179098,learner,,8th,C
179103,learner,,8th,C
179115,learner,,8th,C
179123,learner,,7th,C
179129,learner,,7th,C
179150,learner,,7th,C
179151,learner,,7th,C
179156,learner,,7th,C
179158,learner,,7th,C
179162,learner,,7th,C
179178,learner,,8th,C
179211,learner,,7th,C
179221,learner,,7th,C
179223,learner,,8th,C
179224,learner,,8th,C
179227,learner,,8th,C
179228,learner,,8th,C
179272,learner,,8th,C
179127,learner,,7th,C
159633,mentor,Maria,,mentor
159634,mentor,Sara,,mentor
159635,mentor,Brie,,mentor
163335,mentor,Giselle,,mentor
176973,mentor,Carolina,,mentor
176974,mentor,Evie,,mentor
176975,mentor,Angei,,mentor
177041,mentor,Dolores,,mentor
179469,mentor,Zoe,,mentor
179161,learner,,4th,D
179176,learner,,4th,D
179177,learner,,5th,D
179245,learner,,5th,D
179100,learner,,5th,D
179122,learner,,5th,D
179131,learner,,5th,D
179132,learner,,5th,D
179139,learner,,5th,D
179155,learner,,5th,D
179160,learner,,5th,D
179166,learner,,5th,D
179173,learner,,5th,D
179180,learner,,4th,D
179181,learner,,4th,D
179182,learner,,4th,D
179184,learner,,5th,D
179186,learner,,5th,D
179187,learner,,5th,D
179230,learner,,5th,D
179231,learner,,5th,D
179233,learner,,4th,D
179236,learner,,5th,D
179244,learner,,4th,D
179273,learner,,4th,D
179274,learner,,6th,D
179275,learner,,6th,D
179106,learner,,7th,E
179114,learner,,7th,E
179128,learner,,7th,E
179149,learner,,7th,E
179154,learner,,7th,E
179159,learner,,7th,E
179165,learner,,7th,E
179169,learner,,7th,E
179170,learner,,7th,E
179175,learner,,7th,E
179179,learner,,7th,E
179207,learner,,7th,E
179212,learner,,7th,E
179213,learner,,7th,E
179214,learner,,7th,E
179215,learner,,7th,E
179216,learner,,7th,E
179217,learner,,7th,E
179218,learner,,7th,E
179219,learner,,7th,E
179220,learner,,7th,E
179243,learner,,7th,E
179276,learner,,7th,E
179561,learner,,6th,E
179566,learner,,7th,E
182366,learner,,7th,E
185957,learner,,7th,E
175316,learner,,6th,school W
175317,learner,,6th,school W
175318,learner,,6th,school W
175319,learner,,6th,school W
175320,learner,,6th,school W
175321,learner,,6th,school W
175322,learner,,6th,school W
175324,learner,,6th,school W
175325,learner,,6th,school W
175326,learner,,6th,school W
175328,learner,,6th,school W
180781,learner,,6th,school W
186663,learner,,6th,school W
186664,learner,,6th,school W
188869,learner,,6th,school W
176269,learner,,6th,school W
176270,learner,,6th,school W
